Старт
x = -10, y = -0.998334	x = -8, y = -1.24675	x = -6, y = -1.65896	x = -4, y = -2.47404	x = -2, y = -4.79426	x = 0, y = NaN	x = 2, y = 4.79426	x = 4, y = 2.47404	x = 6, y = 1.65896	x = 8, y = 1.24675	x = 10, y = 0.998334	Старт
x = -10	y = -2.29617
x = -9	y = -2.5503
x = -8	y = -2.86752
x = -7	y = -3.27455
x = -6	y = -3.81561
x = -5	y = -4.56939
x = -4	y = -5.69029
x = -3	y = -7.52548
x = -2	y = -11.0268
x = -1	y = -19.3538
x = 0	y = NaN
x = 1	y = 19.3538
x = 2	y = 11.0268
x = 3	y = 7.52548
x = 4	y = 5.69029
x = 5	y = 4.56939
x = 6	y = 3.81561
x = 7	y = 3.27455
x = 8	y = 2.86752
x = 9	y = 2.5503
x = 10	y = 2.29617
